epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,35635.9,0.10245,0.48864,0.84742,0.79919,0.76713,0.80152,0.80128,0.0759,0.4004,0.75809,0.000198125,0.000198125,0.000198125
87,36033.5,0.10136,0.48111,0.85241,0.7978,0.77907,0.81497,0.81327,0.07828,0.39657,0.76063,0.00018575,0.00018575,0.00018575
88,36427.9,0.09671,0.47884,0.84918,0.74481,0.79105,0.78863,0.78764,0.07343,0.40571,0.75728,0.000173375,0.000173375,0.000173375
89,36822.7,0.09625,0.4821,0.84926,0.74078,0.81113,0.79402,0.79306,0.07414,0.40281,0.75859,0.000161,0.000161,0.000161
90,37217.7,0.09206,0.45828,0.84958,0.70991,0.86756,0.79242,0.7909,0.07472,0.42417,0.75953,0.000148625,0.000148625,0.000148625
91,37607.9,0.07574,0.35968,0.78875,0.74208,0.82556,0.79603,0.79385,0.08099,0.43162,0.76108,0.00013625,0.00013625,0.00013625
92,37999,0.076,0.37777,0.78151,0.74794,0.82303,0.79515,0.79352,0.07585,0.41432,0.75865,0.000123875,0.000123875,0.000123875
93,38388.1,0.07553,0.36712,0.79416,0.71784,0.84072,0.79742,0.79635,0.07479,0.42311,0.75813,0.0001115,0.0001115,0.0001115
94,38777.8,0.07435,0.35764,0.78537,0.73531,0.82308,0.79733,0.79587,0.07546,0.41405,0.75905,9.9125e-05,9.9125e-05,9.9125e-05
95,39167.7,0.07109,0.35119,0.78234,0.72838,0.81269,0.78033,0.77908,0.07268,0.42374,0.75918,8.675e-05,8.675e-05,8.675e-05
96,39556.8,0.06842,0.34156,0.78491,0.76069,0.81243,0.79485,0.79303,0.07279,0.42038,0.75959,7.4375e-05,7.4375e-05,7.4375e-05
97,39945.5,0.06705,0.3403,0.78579,0.73938,0.82036,0.78748,0.78527,0.07168,0.42269,0.759,6.2e-05,6.2e-05,6.2e-05
98,40359.2,0.06593,0.32071,0.78788,0.73745,0.82485,0.78509,0.78369,0.07188,0.42895,0.75824,4.9625e-05,4.9625e-05,4.9625e-05
